id,col_3,col_4,col_5
3101,PROMO-A,014/P-A,P-A-014
3102,PROMO-A,013/P-A,P-A-013
3103,PROMO-A,012/P-A,P-A-012
3104,PROMO-A,011/P-A,P-A-011
3105,PROMO-A,009/P-A,P-A-009
3113,A1,286/228,A1-286
3114,A1,285/227,A1-285
3115,A1,284/227,A1-284
3116,A1,283/226,A1-283
3117,A1,282/226,A1-282
3118,A1,281/226,A1-281
3119,A1,280/226,A1-280
3120,A1,279/226,A1-279
3121,A1,278/226,A1-278
3122,A1,277/226,A1-277
3111,PROMO-A,002/P-A,P-A-002
3110,PROMO-A,003/P-A,P-A-003
3109,PROMO-A,004/P-A,P-A-004
3108,PROMO-A,005/P-A,P-A-005
3107,PROMO-A,006/P-A,P-A-006
3106,PROMO-A,007/P-A,P-A-007
3123,A1,276/226,A1-276
3124,A1,275/226,A1-275
3125,A1,274/226,A1-274
3126,A1,273/226,A1-273
3127,A1,272/226,A1-272
3128,A1,271/226,A1-271
3129,A1,270/226,A1-270
3130,A1,269/226,A1-269
3131,A1,268/226,A1-268
3132,A1,267/226,A1-267
3133,A1,266/226,A1-266
3134,A1,265/226,A1-265
3135,A1,264/226,A1-264
3136,A1,263/226,A1-263
3137,A1,262/226,A1-262
3138,A1,261/226,A1-261
3139,A1,260/226,A1-260
3140,A1,259/226,A1-259
3141,A1,258/226,A1-258
3142,A1,257/226,A1-257
3143,A1,256/226,A1-256
3144,A1,255/226,A1-255
3145,A1,254/226,A1-254
3146,A1,253/226,A1-253
3147,A1,252/226,A1-252
3148,A1,251/226,A1-251
3149,A1,250/226,A1-250
3150,A1,249/226,A1-249
3151,A1,248/226,A1-248
3152,A1,247/226,A1-247
3153,A1,246/226,A1-246
3154,A1,245/226,A1-245
3155,A1,244/226,A1-244
3156,A1,243/226,A1-243
3157,A1,242/226,A1-242
3158,A1,241/226,A1-241
3159,A1,240/226,A1-240
3160,A1,239/226,A1-239
3161,A1,238/226,A1-238
3162,A1,237/226,A1-237
3163,A1,236/226,A1-236
3164,A1,235/226,A1-235
3165,A1,234/226,A1-234
3166,A1,233/226,A1-233
3167,A1,232/226,A1-232
3168,A1,231/226,A1-231
3169,A1,230/226,A1-230
3170,A1,229/226,A1-229
3171,A1,228/226,A1-228
3172,A1,227/226,A1-227
3173,A1,226/226,A1-226
3174,A1,225/226,A1-225
3175,A1,224/226,A1-224
3176,A1,223/226,A1-223
3177,A1,222/226,A1-222
3178,A1,221/226,A1-221
3179,A1,220/226,A1-220
3180,A1,219/226,A1-219
3181,A1,218/226,A1-218
3182,A1,217/226,A1-217
3183,A1,216/226,A1-216
3184,A1,215/226,A1-215
3185,A1,214/226,A1-214
3186,A1,213/226,A1-213
3187,A1,212/226,A1-212
3188,A1,211/226,A1-211
3189,A1,210/226,A1-210
3190,A1,209/226,A1-209
3191,A1,208/226,A1-208
3192,A1,207/226,A1-207
3193,A1,206/226,A1-206
3194,A1,205/226,A1-205
3195,A1,204/226,A1-204
3196,A1,203/226,A1-203
3197,A1,202/226,A1-202
3198,A1,201/226,A1-201
3199,A1,200/226,A1-200
3200,A1,199/226,A1-199
3201,A1,198/226,A1-198
3202,A1,197/226,A1-197
3203,A1,196/226,A1-196
3204,A1,195/226,A1-195
3205,A1,194/226,A1-194
3206,A1,193/226,A1-193
3207,A1,192/226,A1-192
3208,A1,191/226,A1-191
3209,A1,190/226,A1-190
3210,A1,189/226,A1-189
3211,A1,188/226,A1-188
3212,A1,187/226,A1-187
3213,A1,186/226,A1-186
3214,A1,185/226,A1-185
3215,A1,184/226,A1-184
3216,A1,183/226,A1-183
3217,A1,182/226,A1-182
3218,A1,181/226,A1-181
3219,A1,180/226,A1-180
3220,A1,179/226,A1-179
3221,A1,178/226,A1-178
3222,A1,177/226,A1-177
3223,A1,176/226,A1-176
3224,A1,175/226,A1-175
3225,A1,174/226,A1-174
3226,A1,173/226,A1-173
3227,A1,172/226,A1-172
3228,A1,171/226,A1-171
3229,A1,170/226,A1-170
3230,A1,169/226,A1-169
3231,A1,168/226,A1-168
3232,A1,167/226,A1-167
3233,A1,166/226,A1-166
3234,A1,165/226,A1-165
3235,A1,164/226,A1-164
3236,A1,163/226,A1-163
3237,A1,162/226,A1-162
3238,A1,161/226,A1-161
3239,A1,160/226,A1-160
3240,A1,159/226,A1-159
3241,A1,158/226,A1-158
3242,A1,157/226,A1-157
3243,A1,156/226,A1-156
3244,A1,155/226,A1-155
3245,A1,154/226,A1-154
3246,A1,153/226,A1-153
3247,A1,152/226,A1-152
3248,A1,151/226,A1-151
3249,A1,150/226,A1-150
3250,A1,149/226,A1-149
3251,A1,148/226,A1-148
3252,A1,147/226,A1-147
3253,A1,146/226,A1-146
3254,A1,145/226,A1-145
3255,A1,144/226,A1-144
3256,A1,143/226,A1-143
3257,A1,142/226,A1-142
3258,A1,141/226,A1-141
3259,A1,140/226,A1-140
3260,A1,139/226,A1-139
3261,A1,138/226,A1-138
3262,A1,137/226,A1-137
3263,A1,136/226,A1-136
3264,A1,135/226,A1-135
3265,A1,134/226,A1-134
3266,A1,133/226,A1-133
3267,A1,132/226,A1-132
3268,A1,131/226,A1-131
3269,A1,130/226,A1-130
3270,A1,129/226,A1-129
3271,A1,128/226,A1-128
3272,A1,127/226,A1-127
3273,A1,126/226,A1-126
3274,A1,125/226,A1-125
3275,A1,124/226,A1-124
3276,A1,123/226,A1-123
3277,A1,122/226,A1-122
3278,A1,121/226,A1-121
3279,A1,120/226,A1-120
3280,A1,119/226,A1-119
3281,A1,118/226,A1-118
3282,A1,117/226,A1-117
3283,A1,116/226,A1-116
3284,A1,115/226,A1-115
3285,A1,114/226,A1-114
3286,A1,113/226,A1-113
3287,A1,112/226,A1-112
3288,A1,111/226,A1-111
3289,A1,110/226,A1-110
3290,A1,109/226,A1-109
3291,A1,108/226,A1-108
3292,A1,107/226,A1-107
3293,A1,106/226,A1-106
3294,A1,105/226,A1-105
3295,A1,104/226,A1-104
3296,A1,103/226,A1-103
3297,A1,102/226,A1-102
3298,A1,101/226,A1-101
3299,A1,100/226,A1-100
3300,A1,099/226,A1-099
3301,A1,098/226,A1-098
3302,A1,097/226,A1-097
3303,A1,096/226,A1-096
3304,A1,095/226,A1-095
3305,A1,094/226,A1-094
3306,A1,093/226,A1-093
3307,A1,092/226,A1-092
3308,A1,091/226,A1-091
3309,A1,090/226,A1-090
3310,A1,089/226,A1-089
3311,A1,088/226,A1-088
3312,A1,087/226,A1-087
3313,A1,086/226,A1-086
3314,A1,085/226,A1-085
3315,A1,084/226,A1-084
3316,A1,083/226,A1-083
3317,A1,082/226,A1-082
3318,A1,081/226,A1-081
3319,A1,080/226,A1-080
3320,A1,079/226,A1-079
3321,A1,078/226,A1-078
3322,A1,077/226,A1-077
3323,A1,076/226,A1-076
3324,A1,075/226,A1-075
3325,A1,074/226,A1-074
3326,A1,073/226,A1-073
