id,col_3,col_4,col_5,col_5_英語,card_name_英語,image_url_英語,col_5_韓国語,card_name_韓国語,image_url_韓国語,col_5_中国語,card_name_中国語,image_url_中国語,col_5_フランス語,card_name_フランス語,image_url_フランス語,col_5_スペイン語,card_name_スペイン語,image_url_スペイン語,col_5_ドイツ語,card_name_ドイツ語,image_url_ドイツ語
3101,PROMO-A,014/P-A,P-A-014,P-A-014,Lapras ex,https://assets.tcgdex.net/en/tcgp/P-A/014/low.webp,P-A-014,라프라스 ex,https://ptcgp-tracker.com/sites/default/files/promo_a/cards/ko_KR/14.webp,P-A-014,拉普拉斯 ex,https://ptcgp-tracker.com/sites/default/files/promo_a/cards/zh_TW/14.webp,P-A-014,Lokhlass ex,https://ptcgp-tracker.com/sites/default/files/promo_a/cards/fr_FR/14.webp,P-A-014,Lapras ex,https://ptcgp-tracker.com/sites/default/files/promo_a/cards/es_ES/14.webp,P-A-014,Lapras ex,https://ptcgp-tracker.com/sites/default/files/promo_a/cards/de_DE/14.webp
3102,PROMO-A,013/P-A,P-A-013,P-A-013,Butterfree,https://assets.tcgdex.net/en/tcgp/P-A/013/low.webp,P-A-013,버터플,https://ptcgp-tracker.com/sites/default/files/promo_a/cards/ko_KR/13.webp,P-A-013,巴大蝶,https://ptcgp-tracker.com/sites/default/files/promo_a/cards/zh_TW/13.webp,P-A-013,Papilusion,https://ptcgp-tracker.com/sites/default/files/promo_a/cards/fr_FR/13.webp,P-A-013,Butterfree,https://ptcgp-tracker.com/sites/default/files/promo_a/cards/es_ES/13.webp,P-A-013,Smettbo,https://ptcgp-tracker.com/sites/default/files/promo_a/cards/de_DE/13.webp
3103,PROMO-A,012/P-A,P-A-012,P-A-012,Meowth,https://assets.tcgdex.net/en/tcgp/P-A/012/low.webp,P-A-012,나옹,https://ptcgp-tracker.com/sites/default/files/promo_a/cards/ko_KR/12.webp,P-A-012,喵喵,https://ptcgp-tracker.com/sites/default/files/promo_a/cards/zh_TW/12.webp,P-A-012,Miaouss,https://ptcgp-tracker.com/sites/default/files/promo_a/cards/fr_FR/12.webp,P-A-012,Meowth,https://ptcgp-tracker.com/sites/default/files/promo_a/cards/es_ES/12.webp,P-A-012,Mauzi,https://ptcgp-tracker.com/sites/default/files/promo_a/cards/de_DE/12.webp
3104,PROMO-A,011/P-A,P-A-011,P-A-011,Chansey,https://assets.tcgdex.net/en/tcgp/P-A/011/low.webp,P-A-011,럭키,https://ptcgp-tracker.com/sites/default/files/promo_a/cards/ko_KR/11.webp,P-A-011,吉利蛋,https://ptcgp-tracker.com/sites/default/files/promo_a/cards/zh_TW/11.webp,P-A-011,Leveinard,https://ptcgp-tracker.com/sites/default/files/promo_a/cards/fr_FR/11.webp,P-A-011,Chansey,https://ptcgp-tracker.com/sites/default/files/promo_a/cards/es_ES/11.webp,P-A-011,Chaneira,https://ptcgp-tracker.com/sites/default/files/promo_a/cards/de_DE/11.webp
3105,PROMO-A,009/P-A,P-A-009,P-A-009,Pikachu,https://assets.tcgdex.net/en/tcgp/P-A/009/low.webp,P-A-009,피카츄,https://ptcgp-tracker.com/sites/default/files/promo_a/cards/ko_KR/9.webp,P-A-009,皮卡丘,https://ptcgp-tracker.com/sites/default/files/promo_a/cards/zh_TW/9.webp,P-A-009,Pikachu,https://ptcgp-tracker.com/sites/default/files/promo_a/cards/fr_FR/9.webp,P-A-009,Pikachu,https://ptcgp-tracker.com/sites/default/files/promo_a/cards/es_ES/9.webp,P-A-009,Pikachu,https://ptcgp-tracker.com/sites/default/files/promo_a/cards/de_DE/9.webp
3113,A1,286/228,A1-286,A1-286,Mewtwo ex,https://assets.tcgdex.net/en/tcgp/A1/286/low.webp,A1-286,뮤츠 ex,https://ptcgp-tracker.com/sites/default/files/genetic_apex/cards/ko_KR/286.webp,A1-286,超夢 ex,https://ptcgp-tracker.com/sites/default/files/genetic_apex/cards/zh_TW/286.webp,A1-286,Mewtwo ex,https://ptcgp-tracker.com/sites/default/files/genetic_apex/cards/fr_FR/286.webp,A1-286,Mewtwo ex,https://ptcgp-tracker.com/sites/default/files/genetic_apex/cards/es_ES/286.webp,A1-286,Mewtu ex,https://ptcgp-tracker.com/sites/default/files/genetic_apex/cards/de_DE/286.webp
3114,A1,285/227,A1-285,A1-285,Pikachu ex,https://assets.tcgdex.net/en/tcgp/A1/285/low.webp,A1-285,피카츄 ex,https://ptcgp-tracker.com/sites/default/files/genetic_apex/cards/ko_KR/285.webp,A1-285,皮卡丘 ex,https://ptcgp-tracker.com/sites/default/files/genetic_apex/cards/zh_TW/285.webp,A1-285,Pikachu ex,https://ptcgp-tracker.com/sites/default/files/genetic_apex/cards/fr_FR/285.webp,A1-285,Pikachu ex,https://ptcgp-tracker.com/sites/default/files/genetic_apex/cards/es_ES/285.webp,A1-285,Pikachu ex,https://ptcgp-tracker.com/sites/default/files/genetic_apex/cards/de_DE/285.webp
3115,A1,284/227,A1-284,A1-284,Charizard ex,https://assets.tcgdex.net/en/tcgp/A1/284/low.webp,A1-284,리자몽 ex,https://ptcgp-tracker.com/sites/default/files/genetic_apex/cards/ko_KR/284.webp,A1-284,噴火龍 ex,https://ptcgp-tracker.com/sites/default/files/genetic_apex/cards/zh_TW/284.webp,A1-284,Dracaufeu ex,https://ptcgp-tracker.com/sites/default/files/genetic_apex/cards/fr_FR/284.webp,A1-284,Charizard ex,https://ptcgp-tracker.com/sites/default/files/genetic_apex/cards/es_ES/284.webp,A1-284,Glurak ex,https://ptcgp-tracker.com/sites/default/files/genetic_apex/cards/de_DE/284.webp
3116,A1,283/226,A1-283,A1-283,Mew,https://assets.tcgdex.net/en/tcgp/A1/283/low.webp,A1-283,뮤,https://ptcgp-tracker.com/sites/default/files/genetic_apex/cards/ko_KR/283.webp,A1-283,夢幻,https://ptcgp-tracker.com/sites/default/files/genetic_apex/cards/zh_TW/283.webp,A1-283,Mew,https://ptcgp-tracker.com/sites/default/files/genetic_apex/cards/fr_FR/283.webp,A1-283,Mew,https://ptcgp-tracker.com/sites/default/files/genetic_apex/cards/es_ES/283.webp,A1-283,Mew,https://ptcgp-tracker.com/sites/default/files/genetic_apex/cards/de_DE/283.webp
3117,A1,282/226,A1-282,A1-282,Mewtwo ex,https://assets.tcgdex.net/en/tcgp/A1/282/low.webp,A1-282,뮤츠 ex,https://ptcgp-tracker.com/sites/default/files/genetic_apex/cards/ko_KR/282.webp,A1-282,超夢 ex,https://ptcgp-tracker.com/sites/default/files/genetic_apex/cards/zh_TW/282.webp,A1-282,Mewtwo ex,https://ptcgp-tracker.com/sites/default/files/genetic_apex/cards/fr_FR/282.webp,A1-282,Mewtwo ex,https://ptcgp-tracker.com/sites/default/files/genetic_apex/cards/es_ES/282.webp,A1-282,Mewtu ex,https://ptcgp-tracker.com/sites/default/files/genetic_apex/cards/de_DE/282.webp
