Smettbo,Butterfree
Mauzi,Meowth
Chaneira,Chansey
Forschung des Professors,Investigación de Profesores
Rote Karte,Tarjeta Roja
Pokéball,Poké Ball
Hand Scope,Periscopio
X-Initiative,Velocidad X
Trank,Poción
Mewtu ex,Mewtwo ex
Mewtuex,Mewtwo ex
Glurak ex,Charizard ex
Glurakex,Charizard ex
Knuddeluff ex,Wigglytuff ex
Knuddeluffex,Wigglytuff ex
Machomei ex,Machamp ex
Machomeiex,Machamp ex
Arktos ex,Articuno ex
Arktosex,Articuno ex
Lavados ex,Moltres ex
Lavadosex,Moltres ex
Major Bob,Teniente Surge
Rocko,Brock
Pyro,Blaine
Knogga ex,Marowak ex
Knoggaex,Marowak ex
Turtok ex,Blastoise ex
Turtokex,Blastoise ex
Arkani ex,Arcanine ex
Arkaniex,Arcanine ex
Kokowei ex,Exeggutor ex
Kokoweiex,Exeggutor ex
Bisaflor ex,Venusaur ex
Bisaflorex,Venusaur ex
Relaxo,Snorlax
Evoli,Eevee
Tauboss,Pidgeot
Dragoran,Dragonite
Smogmog,Weezing
Tragosso,Cubone
Digda,Diglett
Flegmon,Slowpoke
Simsala,Alakazam
Lektrobal,Electrode
Garados,Gyarados
Schiggy,Squirtle
Gallopa,Rapidash
Glumanda,Charmander
Duflor,Gloom
Bisasam,Bulbasaur
Altbernstein,Ámbar viejo
Domfossil,Fósil Domo
Helixfossil,Fósil Hélix
Zwollock,Dubwool
Wolly,Wooloo
Chillabell,Cinccino
Picochilla,Minccino
Kangama,Kangaskhan
Schlurp,Lickitung
Dodri,Dodrio
Dodu,Doduo
Porenta,Farfetch’d
Snobilikat,Persian
Knuddeluff,Wigglytuff
Pummeluff,Jigglypuff
Ibitak,Fearow
Habitak,Spearow
Rattikarl,Raticate
Rattfratz,Rattata
Tauboga,Pidgeotto
Taubsi,Pidgey
Dragonir,Dragonair
Caesurio,Bisharp
Gladiantri,Pawniard
Flunkifer,Mawile
Smogon,Koffing
Sleimok,Muk
Sleima,Grimer
Rettan,Ekans
Kaocto,Grapploct
Klopptopus,Clobbopus
Wie-Shu,Mienshao
Lin-Fu,Mienfoo
Rizeros,Rhydon
Rihorn,Rhyhorn
Nockchan,Hitmonchan
Kicklee,Hitmonlee
Knogga,Marowak
Geowaz,Golem
Georok,Graveler
Kleinstein,Geodude
Machomei,Machamp
Maschock,Machoke
Machollo,Machop
Rasaff,Primeape
Menki,Mankey
Digdri,Dugtrio
Sandamer,Sandslash
Sandan,Sandshrew
Golgantes,Golurk
Golbit,Golett
Fletiamo,Swoobat
Fleknoil,Woobat
Guardevoir,Gardevoir
Trasla,Ralts
Mewtu,Mewtwo
Rossana,Jynx
Pantimos,Mr. Mime
Traumato,Drowzee
Alpollo,Haunter
Nebulak,Gastly
Lahmus,Slowbro
Pixi,Clefable
Piepi,Clefairy
Britzigel,Pincurchin
Elezard,Heliolisk
Eguana,Helioptile
Zapplarang,Eelektross
Zapplalek,Eelektrik
Zapplardin,Tynamo
Zebritz,Zebstrika
Elezeba,Blitzle
Blitza,Jolteon
Elektek,Electabuzz
Voltobal,Voltorb
Magnetilo,Magnemite
Mottineva,Frosmoth
Snomnom,Snom
Knirfish,Bruxish
Gufa,Pyukumuku
Quajutsu,Greninja
Amphizel,Frogadier
Froxy,Froakie
Swaroness,Swanna
Piccolente,Ducklett
Arktos,Articuno
Amoroso,Omastar
Amonitas,Omanyte
Aquana,Vaporeon
Karpador,Magikarp
Sterndu,Staryu
Golking,Seaking
Goldini,Goldeen
Seemon,Seadra
Seeper,Horsea
Austos,Cloyster
Muschas,Shellder
Jugong,Dewgong
Jurob,Seel
Tentoxa,Tentacruel
Tentacha,Tentacool
Quappo,Poliwrath
Quaputzi,Poliwhirl
Quapsel,Poliwag
Entoron,Golduck
Enton,Psyduck
Turtok,Blastoise
Schillok,Wartortle
Infernopod,Centiskorch
Thermopod,Sizzlipede
Amfira,Salazzle
Molunk,Salandit
Furnifraß,Heatmor
Lavados,Moltres
Flamara,Flareon
Ponita,Ponyta
Arkani,Arcanine
Fukano,Growlithe
Vulnona,Ninetales
Glurak,Charizard
Glutexo,Charmeleon
Chevrumm,Gogoat
Mähikel,Skiddo
Dressella,Lilligant
Lilminip,Petilil
Elfun,Whimsicott
Waumboll,Cottonee
Sichlor,Scyther
Kokowei,Exeggutor
Owei,Exeggcute
Sarzenia,Victreebel
Ultrigaria,Weepinbell
Knofensa,Bellsprout
Omot,Venomoth
Bluzuk,Venonat
Parasek,Parasect
Giflor,Vileplume
Myrapla,Oddish
Bibor,Beedrill
Kokuna,Kakuna
Hornliu,Weedle
Safcon,Metapod
Raupy,Caterpie
Bisaflor,Venusaur
Bisaknosp,Ivysaur
Leaf,Hoja
Blau,Azul
Abenteurer-Neuling,Explorador Novel
Tauboss ex,Pidgeot ex
Taubossex,Pidgeot ex
Garados ex,Gyarados ex
Garadosex,Gyarados ex
Serpiroyal,Serperior
Mythische Tafel,Losa Singular
Pokémon-Flöte,Pokéflauta
Plaudagei,Chatot
Shardrago,Druddigon
Cerapendra,Scolipede
Rollum,Whirlipede
Toxiped,Venipede
Kleoparda,Liepard
Felilou,Purrloin
Humanolith,Stonjourner
Sabbaione,Slurpuff
Flauschling,Swirlix
Flabébé,Flabebe
Megalon,Beheeyem
Pygraulon,Elgyem
Symvolara,Sigilyph
Voltula,Galvantula
Wattzapf,Joltik
Urgl,Cramorant
Kamalm,Drednaw
Kamehaps,Chewtle
Ramoth,Volcarona
Ignivor,Larvesta
Moruda,Dhelmise
Lamellux,Shiinotic
Bubungus,Morelull
Efoserp,Servine
Serpifeu,Snivy
Schlurplek ex,Lickilicky ex
Schlurplekex,Lickilicky ex
Snibunna ex,Weavile ex
Snibunnaex,Weavile ex
Galagladi ex,Gallade ex
Galagladiex,Gallade ex
Traunmagil ex,Mismagius ex
Traunmagilex,Mismagius ex
Panferno ex,Infernape ex
Panfernoex,Infernape ex
Mars,Venus
Lucia,Maya
Volkner,Lectro
Cynthia,Cintia
Rüpel von Team Galaktik,Recluta del Equipo Galaxia
Zyrus,Helio
Charmian,Glameow
Bidiza,Bidoof
Knakrack,Garchomp
Glibunkel,Croagunk
Kryppuk,Spiritomb
Rihornior,Rhyperior
Vesprit,Mesprit
Driftlon,Drifloon
Sheinux,Shinx
Mamutel,Mamoswine
Venuflibis,Carnivine
Wadribie,Combee
Tangoloss,Tangrowth
Prunusbeere,Baya Ziuela
Beulenhelm,Casco Dentado
Riesige Robe,Capa Gigante
Pokémon-Kommunikation,Comunicación Pokémon
Panzerfossil,Fósil Coraza
Kopffossil,Fósil Cráneo
Wirbel-Rotom,Rotom Ventilador
Shnurgarst,Purugly
Schlapor,Lopunny
Haspiror,Buneary
Bidifas,Bibarel
Staralili,Starly
Ambidiffel,Ambipom
Griffel,Aipom
Knarksel,Gabite
Kaumalat,Gible
Voluminas,Probopass
Bronzel,Bronzor
Burmadame,Wormadam
Bollterus,Bastiodon
Schilterus,Shieldon
Panzaeron,Skarmory
Toxiquak,Toxicroak
Piondragi,Drapion
Pionskora,Skorupi
Skunkapuh,Stunky
Magnayen,Mightyena
Fiffyen,Poochyena
Sniebel,Sneasel
Kramshef,Honchkrow
Kramurx,Murkrow
Hippoterus,Hippowdon
Rameidon,Rampardos
Koknodon,Cranidos
Nasgnet,Nosepass
Kapoera,Hitmontop
Skorgro,Gliscor
Skorgla,Gligar
Tobutz,Azelf
Selfe,Uxie
Drifzepeli,Drifblim
Zwirrfinst,Dusknoir
Zwirrklop,Dusclops
Zwirrlicht,Duskull
Traunfugil,Misdreavus
Luxtra,Luxray
Elevoltek,Electivire
Frost-Rotom,Rotom Frío
Wasch-Rotom,Rotom Lavado
Glaziola,Glaceon
Rexblisar,Abomasnow
Shnebedeck,Snover
Schalellos,Shellos
Bojelin,Floatzel
Bamelin,Buizel
Impoleon,Empoleon
Pliprin,Prinplup
Plinfa,Piplup
Keifel,Piloswine
Quiekel,Swinub
Hitze-Rotom,Rotom Calor
Panpyro,Monferno
Panflam,Chimchar
Schneckmag,Slugma
Magbrant,Magmortar
Schneid-Rotom,Rotom Corte
Folipurba,Leafeon
Honweisel,Vespiquen
Zirpeise,Kricketune
Zirpurze,Kricketot
Chelterrar,Torterra
Chelcarain,Grotle
Chelast,Turtwig
Blubella,Bellossom
Voluminas ex,Probopass ex
Voluminasex,Probopass ex
Knakrack ex,Garchomp ex
Knakrackex,Garchomp ex
Glaziola ex,Glaceon ex
Glaziolaex,Glaceon ex
Folipurba ex,Leafeon ex
Folipurbaex,Leafeon ex
Diam,Adamas
Barry,Israel
Älteste von Elyses,Anciana de Pueblo Caelestis
Perla,Nákara
Mogelbaum,Sudowoodo
Icognito,Unown
Hundemon,Houndoom
Noctuh,Noctowl
Ur-Dialga,Dialga Origen
Iksbat,Crobat
Meditalis,Medicham
Meditie,Meditite
Despotar,Tyranitar
Voltenso,Manectric
Frizelbliz,Electrike
Ur-Palkia,Palkia Origen
Frosdedje,Froslass
Schneppke,Snorunt
Welsar,Whiscash
Schmerbe,Barboach
Hunduster,Houndour
Kinoso,Cherrim
Kikugi,Cherubi
Moterpel,Mothim
Skaraborn,Heracross
Forgita,Tinkatink
Pamomamo,Pawmot
Mopex,Cyclizar
Schligdri ex,Wugtrio ex
Schligdriex,Wugtrio ex
Bibor ex,Beedrill ex
Biborex,Beedrill ex
Knattatox,Revavroom
Knattox,Varoom
Heerashai,Dondozo
Schligda,Wiglett
Bidifas ex,Bibarel ex
Bidifasex,Bibarel ex
Granforgita ex,Tinkaton ex
Granforgitaex,Tinkaton ex
Paldea-Suelord ex,Clodsire de Paldea ex
Paldea-Suelordex,Clodsire de Paldea ex
Rüpel von Team Rocket,Recluta del Team Rocket
Rot,Rojo
Pokémon-Center-Dame,Chica del Centro Pokémon
Enigmara,e-Nigma
Monetigo,Gholdengo
Affiti,Grafaiai
Nigiragi,Tatsugiri
Maskagato,Meowscarada
Schlurplek,Lickilicky
Tafforgita,Tinkatuff
Sproxi,Shroodle
Paldea-Felino,Wooper de Paldea
Flaminkno,Flamigo
Gierspenst,Gimmighoul
Pamamo,Pawmo
Pamo,Pawmi
Paldea-Tauros,Tauros de Paldea
Feliospa,Floragato
Felori,Sprigatito
Tukanon,Toucannon
Alola-Sleima,Grimer de Alola
Krabbox,Crabrawler
Alola-Kokowei,Exeggutor de Alola
Mimigma,Mimikyu
Lilly,Lylía
Bromley,Guzmán
