Lapras ex,Lokhlass ex
Laprasex,Lokhlass ex
Smettbo,Papilusion
Mauzi,Miaouss
Chaneira,Leveinard
Forschung des Professors,Recherches Professorales
Rote Karte,Carton Rouge
Pokéball,Poké Ball
Hand Scope,Scrute Main
X-Initiative,Vitesse +
Trank,Potion
Mewtu ex,Mewtwo ex
Mewtuex,Mewtwo ex
Glurak ex,Dracaufeu ex
Glurakex,Dracaufeu ex
Knuddeluff ex,Grodoudou ex
Knuddeluffex,Grodoudou ex
Machomei ex,Mackogneur ex
Machomeiex,Mackogneur ex
Gengar ex,Ectoplasma ex
Gengarex,Ectoplasma ex
Zapdos ex,Électhor ex
Zapdosex,Électhor ex
Arktos ex,Artikodin ex
Arktosex,Artikodin ex
Lavados ex,Sulfura ex
Lavadosex,Sulfura ex
Sabrina,Morgane
Rocko,Pierre
Pyro,Auguste
Misty,Ondine
Knogga ex,Ossatueur ex
Knoggaex,Ossatueur ex
Starmie ex,Staross ex
Starmieex,Staross ex
Turtok ex,Tortank ex
Turtokex,Tortank ex
Arkani ex,Arcanin ex
Arkaniex,Arcanin ex
Kokowei ex,Noadkoko ex
Kokoweiex,Noadkoko ex
Bisaflor ex,Florizarre ex
Bisaflorex,Florizarre ex
Relaxo,Ronflex
Evoli,Évoli
Ditto,Métamorph
Tauboss,Roucarnage
Dragoran,Dracolosse
Smogmog,Smogogo
Golbat,Nosferalto
Tragosso,Osselait
Digda,Taupiqueur
Flegmon,Ramoloss
Simsala,Alakazam
Lektrobal,Électrode
Lapras,Lokhlass
Garados,Léviator
Schiggy,Carapuce
Gallopa,Galopa
Glumanda,Salamèche
Pinsir,Scarabrute
Duflor,Ortide
Bisasam,Bulbizarre
Altbernstein,Vieil Ambre
Domfossil,Fossile Dôme
Helixfossil,Fossile Nautile
Zwollock,Moumouflon
Wolly,Moumouton
Chillabell,Pashmilla
Picochilla,Chinchidou
Aerodactyl,Ptéra
Kangama,Kangourex
Schlurp,Excelangue
Dodri,Dodrio
Dodu,Doduo
Porenta,Canarticho
Snobilikat,Persian
Knuddeluff,Grodoudou
Pummeluff,Rondoudou
Ibitak,Rapasdepic
Habitak,Piafabec
Rattikarl,Rattatac
Rattfratz,Rattata
Tauboga,Roucoups
Taubsi,Roucool
Dragonir,Draco
Dratini,Minidraco
Caesurio,Scalproie
Gladiantri,Scalpion
Flunkifer,Mysdibule
Smogon,Smogo
Sleimok,Grotadmorv
Sleima,Tadmorv
Zubat,Nosferapti
Rettan,Abo
Kaocto,Krakos
Klopptopus,Poulpaf
Wie-Shu,Shaofouine
Lin-Fu,Kungfouine
Rizeros,Rhinoféros
Rihorn,Rhinocorne
Nockchan,Tygnon
Knogga,Ossatueur
Geowaz,Grolem
Georok,Gravalanch
Kleinstein,Racaillou
Machomei,Mackogneur
Maschock,Machopeur
Machollo,Machoc
Rasaff,Colossinge
Menki,Férosinge
Digdri,Triopikeur
Sandamer,Sablaireau
Sandan,Sabelette
Golgantes,Golemastoc
