Lapras ex,拉普拉斯 ex
Laprasex,拉普拉斯 ex
Smettbo,巴大蝶
Mauzi,喵喵
Chaneira,吉利蛋
Pikachu,皮卡丘
Forschung des Professors,博士的研究
Rote Karte,紅牌
Pokéball,精靈球
Pokédex ex,寶可夢圖鑑 ex
Pokédexex,寶可夢圖鑑 ex
Hand Scope,窺手鏡
X-Initiative,速度強化
Trank,傷藥
Mewtu ex,超夢 ex
Mewtuex,超夢 ex
Pikachu ex,皮卡丘 ex
Pikachuex,皮卡丘 ex
Glurak ex,噴火龍 ex
Glurakex,噴火龍 ex
Mew,夢幻
Knuddeluff ex,胖可丁 ex
Knuddeluffex,胖可丁 ex
Machomei ex,怪力 ex
Machomeiex,怪力 ex
Gengar ex,耿鬼 ex
Gengarex,耿鬼 ex
Zapdos ex,閃電鳥 ex
Zapdosex,閃電鳥 ex
Arktos ex,急凍鳥 ex
Arktosex,急凍鳥 ex
Lavados ex,火焰鳥 ex
Lavadosex,火焰鳥 ex
Major Bob,馬志士
Sabrina,娜姿
Rocko,小剛
Giovanni,坂木
Koga,阿桔
Pyro,夏伯
Misty,小霞
Erika,莉佳
Knogga ex,嘎啦嘎啦 ex
Knoggaex,嘎啦嘎啦 ex
Starmie ex,寶石海星 ex
Starmieex,寶石海星 ex
Turtok ex,水箭龜 ex
Turtokex,水箭龜 ex
Arkani ex,風速狗 ex
Arkaniex,風速狗 ex
Kokowei ex,椰蛋樹 ex
Kokoweiex,椰蛋樹 ex
Bisaflor ex,妙蛙花 ex
Bisaflorex,妙蛙花 ex
Relaxo,卡比獸
Porygon,多邊獸
Evoli,伊布
Ditto,百變怪
Tauboss,大比鳥
Dragoran,快龍
Smogmog,雙彈瓦斯
Golbat,大嘴蝠
Nidoking,尼多王
Nidoqueen,尼多后
Tragosso,卡拉卡拉
Digda,地鼠
Flegmon,呆呆獸
Simsala,胡地
Lektrobal,頑皮雷彈
Lapras,拉普拉斯
Garados,暴鯉龍
Schiggy,傑尼龜
Gallopa,烈焰馬
Glumanda,小火龍
Pinsir,凱羅斯
Duflor,臭臭花
Bisasam,妙蛙種子
