Lapras ex,Lokhlass ex
Laprasex,Lokhlass ex
Butterfree,Papilusion
Meowth,Miaouss
Chansey,Leveinard
Professor's Research,Recherches Professorales
Red Card,Carton Rouge
Pokédex,Pokédex ex
Hand Scope,Scrute Main
X Speed,Vitesse +
Charizard ex,Dracaufeu ex
Charizardex,Dracaufeu ex
Wigglytuff ex,Grodoudou ex
Wigglytuffex,Grodoudou ex
Machamp ex,Mackogneur ex
Machampex,Mackogneur ex
Gengar ex,Ectoplasma ex
Gengarex,Ectoplasma ex
Zapdos ex,Électhor ex
Zapdosex,Électhor ex
Articuno ex,Artikodin ex
Articunoex,Artikodin ex
Moltres ex,Sulfura ex
Moltresex,Sulfura ex
Lt. Surge,Major Bob
Sabrina,Morgane
Brock,Pierre
Blaine,Auguste
Misty,Ondine
Marowak ex,Ossatueur ex
Marowakex,Ossatueur ex
Starmie ex,Staross ex
Starmieex,Staross ex
Blastoise ex,Tortank ex
Blastoiseex,Tortank ex
Arcanine ex,Arcanin ex
Arcanineex,Arcanin ex
Exeggutor ex,Noadkoko ex
Exeggutorex,Noadkoko ex
Venusaur ex,Florizarre ex
Venusaurex,Florizarre ex
Snorlax,Ronflex
Eevee,Évoli
Ditto,Métamorph
Pidgeot,Roucarnage
Dragonite,Dracolosse
Weezing,Smogogo
Golbat,Nosferalto
Cubone,Osselait
Diglett,Taupiqueur
Slowpoke,Ramoloss
Electrode,Électrode
Lapras,Lokhlass
Gyarados,Léviator
Squirtle,Carapuce
Rapidash,Galopa
Charmander,Salamèche
Pinsir,Scarabrute
Gloom,Ortide
Bulbasaur,Bulbizarre
Old Amber,Vieil Ambre
Dome Fossil,Fossile Dôme
Helix Fossil,Fossile Nautile
Dubwool,Moumouflon
Wooloo,Moumouton
Cinccino,Pashmilla
Minccino,Chinchidou
Aerodactyl,Ptéra
Kangaskhan,Kangourex
Lickitung,Excelangue
Farfetch'd,Canarticho
Wigglytuff,Grodoudou
Jigglypuff,Rondoudou
Fearow,Rapasdepic
Spearow,Piafabec
Raticate,Rattatac
Pidgeotto,Roucoups
Pidgey,Roucool
Dragonair,Draco
Dratini,Minidraco
Bisharp,Scalproie
Pawniard,Scalpion
Mawile,Mysdibule
Koffing,Smogo
Muk,Grotadmorv
Grimer,Tadmorv
Zubat,Nosferapti
Ekans,Abo
Grapploct,Krakos
Clobbopus,Poulpaf
Mienshao,Shaofouine
Mienfoo,Kungfouine
Rhydon,Rhinoféros
Rhyhorn,Rhinocorne
Hitmonchan,Tygnon
Hitmonlee,Kicklee
Marowak,Ossatueur
Golem,Grolem
Graveler,Gravalanch
Geodude,Racaillou
Machamp,Mackogneur
Machoke,Machopeur
Machop,Machoc
Primeape,Colossinge
Mankey,Férosinge
Dugtrio,Triopikeur
Sandslash,Sablaireau
Sandshrew,Sabelette
Golurk,Golemastoc
Golett,Gringolem
Swoobat,Rhinolove
Woobat,Chovsourir
Ralts,Tarsal
Jynx,Lippoutou
Mr. Mime,M. Mime
