Lokhlass ex,Lapras ex
Lokhlassex,Lapras ex
Papilusion,Smettbo
Miaouss,Mauzi
Leveinard,Chaneira
Recherches Professorales,Forschung des Professors
Carton Rouge,Rote Karte
Poké Ball,Pokéball
Scrute Main,Hand Scope
Vitesse +,X-Initiative
Potion,Trank
Mewtwo ex,Mewtu ex
Mewtwoex,Mewtu ex
Dracaufeu ex,Glurak ex
Dracaufeuex,Glurak ex
Grodoudou ex,Knuddeluff ex
Grodoudouex,Knuddeluff ex
Mackogneur ex,Machomei ex
Mackogneurex,Machomei ex
Ectoplasma ex,Gengar ex
Ectoplasmaex,Gengar ex
Électhor ex,Zapdos ex
Électhorex,Zapdos ex
Artikodin ex,Arktos ex
Artikodinex,Arktos ex
Sulfura ex,Lavados ex
Sulfuraex,Lavados ex
Morgane,Sabrina
Pierre,Rocko
Auguste,Pyro
Ondine,Misty
Ossatueur ex,Knogga ex
Ossatueurex,Knogga ex
Staross ex,Starmie ex
Starossex,Starmie ex
Tortank ex,Turtok ex
Tortankex,Turtok ex
Arcanin ex,Arkani ex
Arcaninex,Arkani ex
Noadkoko ex,Kokowei ex
Noadkokoex,Kokowei ex
Florizarre ex,Bisaflor ex
Florizarreex,Bisaflor ex
Ronflex,Relaxo
Évoli,Evoli
Métamorph,Ditto
Roucarnage,Tauboss
Dracolosse,Dragoran
Smogogo,Smogmog
Nosferalto,Golbat
Osselait,Tragosso
Taupiqueur,Digda
Ramoloss,Flegmon
Alakazam,Simsala
Électrode,Lektrobal
Lokhlass,Lapras
Léviator,Garados
Carapuce,Schiggy
Galopa,Gallopa
Salamèche,Glumanda
Scarabrute,Pinsir
Ortide,Duflor
Bulbizarre,Bisasam
Vieil Ambre,Altbernstein
Fossile Dôme,Domfossil
Fossile Nautile,Helixfossil
Moumouflon,Zwollock
Moumouton,Wolly
Pashmilla,Chillabell
Chinchidou,Picochilla
Ptéra,Aerodactyl
Kangourex,Kangama
Excelangue,Schlurp
Dodrio,Dodri
Doduo,Dodu
Canarticho,Porenta
Persian,Snobilikat
Grodoudou,Knuddeluff
Rondoudou,Pummeluff
Rapasdepic,Ibitak
Piafabec,Habitak
Rattatac,Rattikarl
Rattata,Rattfratz
Roucoups,Tauboga
Roucool,Taubsi
Draco,Dragonir
Minidraco,Dratini
Scalproie,Caesurio
Scalpion,Gladiantri
Mysdibule,Flunkifer
Smogo,Smogon
Grotadmorv,Sleimok
Tadmorv,Sleima
Nosferapti,Zubat
Abo,Rettan
Krakos,Kaocto
Poulpaf,Klopptopus
Shaofouine,Wie-Shu
Kungfouine,Lin-Fu
Rhinoféros,Rizeros
Rhinocorne,Rihorn
Tygnon,Nockchan
Ossatueur,Knogga
Grolem,Geowaz
Gravalanch,Georok
Racaillou,Kleinstein
Mackogneur,Machomei
Machopeur,Maschock
Machoc,Machollo
Colossinge,Rasaff
Férosinge,Menki
Triopikeur,Digdri
Sablaireau,Sandamer
Sabelette,Sandan
Golemastoc,Golgantes
Gringolem,Golbit
Rhinolove,Fletiamo
Chovsourir,Fleknoil
Gardevoir,Guardevoir
Tarsal,Trasla
Mewtwo,Mewtu
Lippoutou,Rossana
M. Mime,Pantimos
Hypnomade,Hypno
Soporifik,Traumato
Ectoplasma,Gengar
Spectrum,Alpollo
Fantominus,Nebulak
Flagadoss,Lahmus
Mélodelfe,Pixi
Mélofée,Piepi
Wattapik,Britzigel
Iguolta,Elezard
Galvaran,Eguana
Ohmassacre,Zapplarang
Lampéroie,Zapplalek
Anchwatt,Zapplardin
Zéblitz,Zebritz
Zébibron,Elezeba
Électhor,Zapdos
Voltali,Blitza
Élektek,Elektek
Voltorbe,Voltobal
Magnéton,Magneton
Magnéti,Magnetilo
Beldeneige,Mottineva
Frissonille,Snomnom
Denticrisse,Knirfish
Concombaffe,Gufa
Amphinobi,Quajutsu
Croâporal,Amphizel
Grenousse,Froxy
Lakmécygne,Swaroness
Couaneton,Piccolente
Artikodin,Arktos
Amonistar,Amoroso
Amonita,Amonitas
Aquali,Aquana
Magicarpe,Karpador
Staross,Starmie
Stari,Sterndu
Poissoroy,Golking
Poissirène,Goldini
Hypocéan,Seemon
Hypotrempe,Seeper
Krabboss,Kingler
Crustabri,Austos
Kokiyas,Muschas
Lamantine,Jugong
Otaria,Jurob
Tentacruel,Tentoxa
Tentacool,Tentacha
Tartard,Quappo
Têtarte,Quaputzi
Ptitard,Quapsel
Akwakwak,Entoron
Psykokwak,Enton
Tortank,Turtok
Carabaffe,Schillok
Scolocendre,Infernopod
Grillepattes,Thermopod
Malamandre,Amfira
Tritox,Molunk
Aflamanoir,Furnifraß
Sulfura,Lavados
Pyroli,Flamara
Ponyta,Ponita
Arcanin,Arkani
Caninos,Fukano
Feunard,Vulnona
Goupix,Vulpix
Dracaufeu,Glurak
Reptincel,Glutexo
Chevroum,Chevrumm
Cabriolaine,Mähikel
Fragilady,Dressella
Chlorobule,Lilminip
Farfaduvet,Elfun
Doudouvet,Waumboll
Insécateur,Sichlor
Saquedeneu,Tangela
Noadkoko,Kokowei
Nœunœuf,Owei
Empiflor,Sarzenia
Boustiflor,Ultrigaria
Chétiflor,Knofensa
Aéromite,Omot
Mimitoss,Bluzuk
Parasect,Parasek
Rafflesia,Giflor
Mystherbe,Myrapla
Dardargnan,Bibor
Coconfort,Kokuna
Aspicot,Hornliu
Chrysacier,Safcon
Chenipan,Raupy
Florizarre,Bisaflor
Herbizarre,Bisaknosp
Ptéra ex,Aerodactyl ex
Ptéraex,Aerodactyl ex
Blue,Blau
Jeune Explorateur,Abenteurer-Neuling
Roucarnage ex,Tauboss ex
Roucarnageex,Tauboss ex
Léviator ex,Garados ex
Léviatorex,Garados ex
Majaspic,Serpiroyal
Dalle Fabuleuse,Mythische Tafel
Flûte Pokémon,Pokémon-Flöte
Pijako,Plaudagei
Drakkarmin,Shardrago
Brutapode,Cerapendra
Scobolide,Rollum
Venipatte,Toxiped
Léopardus,Kleoparda
Chacripan,Felilou
Dolman,Humanolith
Cupcanaille,Sabbaione
Sucroquin,Flauschling
Neitram,Megalon
Lewsor,Pygraulon
Cryptéro,Symvolara
Mygavolt,Voltula
Statitik,Wattzapf
Nigosier,Urgl
Torgamord,Kamalm
Khélocrok,Kamehaps
Luminéon,Lumineon
Écayon,Finneon
Pyrax,Ramoth
Pyronille,Ignivor
Sinistrail,Moruda
Lampignon,Lamellux
Spododo,Bubungus
Lianaja,Efoserp
Vipélierre,Serpifeu
Coudlangue ex,Schlurplek ex
Coudlangueex,Schlurplek ex
Dimoret ex,Snibunna ex
Dimoretex,Snibunna ex
Gallame ex,Galagladi ex
Gallameex,Galagladi ex
Magirêve ex,Traunmagil ex
Magirêveex,Traunmagil ex
Simiabraz ex,Panferno ex
Simiabrazex,Panferno ex
Yanméga ex,Yanmega ex
Yanmégaex,Yanmega ex
Aurore,Lucia
Tanguy,Volkner
Sbire de la Team Galaxie,Rüpel von Team Galaktik
Hélio,Zyrus
Chaglam,Charmian
Keunotor,Bidiza
Étouraptor,Staraptor
Carchacrok,Knakrack
Cradopaud,Glibunkel
Spiritomb,Kryppuk
Rhinastoc,Rihornior
Créfollet,Vesprit
Baudrive,Driftlon
Motisma,Rotom
Lixy,Sheinux
Tritosor,Gastrodon
Mammochon,Mamutel
Vortente,Venuflibis
Apitrini,Wadribie
Bouldeneu,Tangoloss
Baie Prine,Prunusbeere
Casque Brut,Beulenhelm
Cape Géante,Riesige Robe
Communication Pokémon,Pokémon-Kommunikation
Fossile Armure,Panzerfossil
Fossile Crâne,Kopffossil
Motisma Hélice,Wirbel-Rotom
Chaffreux,Shnurgarst
Lockpin,Schlapor
Laporeille,Haspiror
Castorno,Bidifas
Étourvol,Staravia
Étourmi,Staralili
Capidextre,Ambidiffel
Capumain,Griffel
Carmache,Knarksel
Griknot,Kaumalat
Tarinorme,Voluminas
Archéodong,Bronzong
Archéomire,Bronzel
Cheniselle,Burmadame
Bastiodon,Bollterus
Dinoclier,Schilterus
Airmure,Panzaeron
Coatox,Toxiquak
Drascore,Piondragi
Rapion,Pionskora
Moufflair,Skuntank
Moufouette,Skunkapuh
Grahyèna,Magnayen
Medhyèna,Fiffyen
Farfuret,Sniebel
Corboss,Kramshef
Cornèbre,Kramurx
Hippodocus,Hippoterus
Charkos,Rameidon
Kranidos,Koknodon
Tarinor,Nasgnet
Scorvol,Skorgro
Scorplane,Skorgla
Créfadet,Tobutz
Créhelf,Selfe
Grodrive,Drifzepeli
Noctunoir,Zwirrfinst
Téraclope,Zwirrklop
Skelénox,Zwirrlicht
Feuforêve,Traunfugil
Luxray,Luxtra
Élekable,Elevoltek
Magnézone,Magnezone
Motisma Froid,Frost-Rotom
Motisma Lavage,Wasch-Rotom
Givrali,Glaziola
Blizzaroi,Rexblisar
Blizzi,Shnebedeck
Sancoki,Schalellos
Mustéflott,Bojelin
Mustébouée,Bamelin
Pingoléon,Impoleon
Prinplouf,Pliprin
Tiplouf,Plinfa
Cochignon,Keifel
Marcacrin,Quiekel
Motisma Chaleur,Hitze-Rotom
Chimpenfeu,Panpyro
Ouisticram,Panflam
Volcaropod,Magcargo
Limagma,Schneckmag
Maganon,Magbrant
Motisma Tonte,Schneid-Rotom
Phyllali,Folipurba
Apireine,Honweisel
Cheniti,Burmy
Mélokrik,Zirpeise
