Lokhlass ex,Lapras ex
Lokhlassex,Lapras ex
Papilusion,Butterfree
Miaouss,Meowth
Leveinard,Chansey
Recherches Professorales,Investigación de Profesores
Carton Rouge,Tarjeta Roja
Scrute Main,Periscopio
Vitesse +,Velocidad X
Potion,Poción
Dracaufeu ex,Charizard ex
Dracaufeuex,Charizard ex
Grodoudou ex,Wigglytuff ex
Grodoudouex,Wigglytuff ex
Mackogneur ex,Machamp ex
Mackogneurex,Machamp ex
Ectoplasma ex,Gengar ex
Ectoplasmaex,Gengar ex
Électhor ex,Zapdos ex
Électhorex,Zapdos ex
Artikodin ex,Articuno ex
Artikodinex,Articuno ex
Sulfura ex,Moltres ex
Sulfuraex,Moltres ex
Major Bob,Teniente Surge
Morgane,Sabrina
Pierre,Brock
Auguste,Blaine
Ondine,Misty
Ossatueur ex,Marowak ex
Ossatueurex,Marowak ex
Staross ex,Starmie ex
Starossex,Starmie ex
Tortank ex,Blastoise ex
Tortankex,Blastoise ex
Arcanin ex,Arcanine ex
Arcaninex,Arcanine ex
Noadkoko ex,Exeggutor ex
Noadkokoex,Exeggutor ex
Florizarre ex,Venusaur ex
Florizarreex,Venusaur ex
Ronflex,Snorlax
Évoli,Eevee
Métamorph,Ditto
Roucarnage,Pidgeot
Dracolosse,Dragonite
Smogogo,Weezing
Nosferalto,Golbat
Osselait,Cubone
Taupiqueur,Diglett
Ramoloss,Slowpoke
Électrode,Electrode
Lokhlass,Lapras
Léviator,Gyarados
Carapuce,Squirtle
Galopa,Rapidash
Salamèche,Charmander
Scarabrute,Pinsir
Ortide,Gloom
Bulbizarre,Bulbasaur
Vieil Ambre,Ámbar viejo
Fossile Dôme,Fósil Domo
Fossile Nautile,Fósil Hélix
Moumouflon,Dubwool
Moumouton,Wooloo
Pashmilla,Cinccino
Chinchidou,Minccino
Ptéra,Aerodactyl
Kangourex,Kangaskhan
Excelangue,Lickitung
Canarticho,Farfetch’d
Grodoudou,Wigglytuff
Rondoudou,Jigglypuff
Rapasdepic,Fearow
Piafabec,Spearow
Rattatac,Raticate
Roucoups,Pidgeotto
Roucool,Pidgey
Draco,Dragonair
Minidraco,Dratini
Scalproie,Bisharp
Scalpion,Pawniard
Mysdibule,Mawile
Smogo,Koffing
Grotadmorv,Muk
Tadmorv,Grimer
Nosferapti,Zubat
Abo,Ekans
Krakos,Grapploct
Poulpaf,Clobbopus
Shaofouine,Mienshao
Kungfouine,Mienfoo
Rhinoféros,Rhydon
Rhinocorne,Rhyhorn
Tygnon,Hitmonchan
Kicklee,Hitmonlee
Ossatueur,Marowak
Grolem,Golem
Gravalanch,Graveler
Racaillou,Geodude
Mackogneur,Machamp
Machopeur,Machoke
Machoc,Machop
Colossinge,Primeape
Férosinge,Mankey
Triopikeur,Dugtrio
Sablaireau,Sandslash
Sabelette,Sandshrew
Golemastoc,Golurk
Gringolem,Golett
Rhinolove,Swoobat
Chovsourir,Woobat
Tarsal,Ralts
Lippoutou,Jynx
M. Mime,Mr. Mime
Hypnomade,Hypno
Soporifik,Drowzee
Ectoplasma,Gengar
Spectrum,Haunter
Fantominus,Gastly
Flagadoss,Slowbro
Mélodelfe,Clefable
Mélofée,Clefairy
Wattapik,Pincurchin
Iguolta,Heliolisk
Galvaran,Helioptile
Ohmassacre,Eelektross
Lampéroie,Eelektrik
Anchwatt,Tynamo
Zéblitz,Zebstrika
Zébibron,Blitzle
Électhor,Zapdos
Voltali,Jolteon
Élektek,Electabuzz
Voltorbe,Voltorb
Magnéton,Magneton
Magnéti,Magnemite
Beldeneige,Frosmoth
Frissonille,Snom
Denticrisse,Bruxish
Concombaffe,Pyukumuku
Amphinobi,Greninja
Croâporal,Frogadier
Grenousse,Froakie
Lakmécygne,Swanna
Couaneton,Ducklett
Artikodin,Articuno
Amonistar,Omastar
Amonita,Omanyte
Aquali,Vaporeon
Magicarpe,Magikarp
Staross,Starmie
Stari,Staryu
Poissoroy,Seaking
Poissirène,Goldeen
Hypocéan,Seadra
Hypotrempe,Horsea
Krabboss,Kingler
Crustabri,Cloyster
Kokiyas,Shellder
Lamantine,Dewgong
Otaria,Seel
Tartard,Poliwrath
Têtarte,Poliwhirl
Ptitard,Poliwag
Akwakwak,Golduck
Psykokwak,Psyduck
Tortank,Blastoise
Carabaffe,Wartortle
Scolocendre,Centiskorch
Grillepattes,Sizzlipede
Malamandre,Salazzle
Tritox,Salandit
Aflamanoir,Heatmor
Sulfura,Moltres
Pyroli,Flareon
Arcanin,Arcanine
Caninos,Growlithe
Feunard,Ninetales
Goupix,Vulpix
Dracaufeu,Charizard
Reptincel,Charmeleon
Chevroum,Gogoat
Cabriolaine,Skiddo
Fragilady,Lilligant
Chlorobule,Petilil
Farfaduvet,Whimsicott
Doudouvet,Cottonee
Insécateur,Scyther
Saquedeneu,Tangela
Noadkoko,Exeggutor
Nœunœuf,Exeggcute
Empiflor,Victreebel
Boustiflor,Weepinbell
Chétiflor,Bellsprout
Aéromite,Venomoth
Mimitoss,Venonat
Rafflesia,Vileplume
Mystherbe,Oddish
Dardargnan,Beedrill
Coconfort,Kakuna
Aspicot,Weedle
Chrysacier,Metapod
Chenipan,Caterpie
Florizarre,Venusaur
Herbizarre,Ivysaur
Ptéra ex,Aerodactyl ex
Ptéraex,Aerodactyl ex
Leaf,Hoja
Blue,Azul
Jeune Explorateur,Explorador Novel
Roucarnage ex,Pidgeot ex
Roucarnageex,Pidgeot ex
Léviator ex,Gyarados ex
Léviatorex,Gyarados ex
Majaspic,Serperior
Dalle Fabuleuse,Losa Singular
Flûte Pokémon,Pokéflauta
Pijako,Chatot
Drakkarmin,Druddigon
Brutapode,Scolipede
Scobolide,Whirlipede
Venipatte,Venipede
Léopardus,Liepard
Chacripan,Purrloin
Dolman,Stonjourner
Cupcanaille,Slurpuff
Sucroquin,Swirlix
Flabébé,Flabebe
Neitram,Beheeyem
Lewsor,Elgyem
Cryptéro,Sigilyph
Mygavolt,Galvantula
Statitik,Joltik
Nigosier,Cramorant
Torgamord,Drednaw
Khélocrok,Chewtle
Luminéon,Lumineon
Écayon,Finneon
Pyrax,Volcarona
Pyronille,Larvesta
Sinistrail,Dhelmise
Lampignon,Shiinotic
Spododo,Morelull
Lianaja,Servine
Vipélierre,Snivy
Coudlangue ex,Lickilicky ex
Coudlangueex,Lickilicky ex
Dimoret ex,Weavile ex
Dimoretex,Weavile ex
Gallame ex,Gallade ex
Gallameex,Gallade ex
Magirêve ex,Mismagius ex
Magirêveex,Mismagius ex
Simiabraz ex,Infernape ex
Simiabrazex,Infernape ex
Yanméga ex,Yanmega ex
Yanmégaex,Yanmega ex
Mars,Venus
Aurore,Maya
Tanguy,Lectro
Cynthia,Cintia
Sbire de la Team Galaxie,Recluta del Equipo Galaxia
Hélio,Helio
Chaglam,Glameow
Keunotor,Bidoof
Étouraptor,Staraptor
Carchacrok,Garchomp
Cradopaud,Croagunk
Rhinastoc,Rhyperior
Créfollet,Mesprit
Baudrive,Drifloon
Motisma,Rotom
Lixy,Shinx
Tritosor,Gastrodon
Mammochon,Mamoswine
Vortente,Carnivine
Apitrini,Combee
Bouldeneu,Tangrowth
Baie Prine,Baya Ziuela
Casque Brut,Casco Dentado
Cape Géante,Capa Gigante
Communication Pokémon,Comunicación Pokémon
Fossile Armure,Fósil Coraza
Fossile Crâne,Fósil Cráneo
Motisma Hélice,Rotom Ventilador
Chaffreux,Purugly
Lockpin,Lopunny
Laporeille,Buneary
Castorno,Bibarel
Étourvol,Staravia
Étourmi,Starly
Capidextre,Ambipom
Capumain,Aipom
Carmache,Gabite
Griknot,Gible
Tarinorme,Probopass
Archéodong,Bronzong
Archéomire,Bronzor
Cheniselle,Wormadam
Dinoclier,Shieldon
Airmure,Skarmory
Coatox,Toxicroak
Drascore,Drapion
Rapion,Skorupi
Moufflair,Skuntank
Moufouette,Stunky
Grahyèna,Mightyena
Medhyèna,Poochyena
Farfuret,Sneasel
Corboss,Honchkrow
Cornèbre,Murkrow
Hippodocus,Hippowdon
Charkos,Rampardos
Kranidos,Cranidos
Tarinor,Nosepass
Kapoera,Hitmontop
Scorvol,Gliscor
Scorplane,Gligar
Créfadet,Azelf
Créhelf,Uxie
Grodrive,Drifblim
Noctunoir,Dusknoir
Téraclope,Dusclops
Skelénox,Duskull
Feuforêve,Misdreavus
Élekable,Electivire
Magnézone,Magnezone
Motisma Froid,Rotom Frío
Motisma Lavage,Rotom Lavado
Givrali,Glaceon
Blizzaroi,Abomasnow
Blizzi,Snover
Sancoki,Shellos
Mustéflott,Floatzel
Mustébouée,Buizel
Pingoléon,Empoleon
Prinplouf,Prinplup
Tiplouf,Piplup
Cochignon,Piloswine
Marcacrin,Swinub
Motisma Chaleur,Rotom Calor
Chimpenfeu,Monferno
Ouisticram,Chimchar
Volcaropod,Magcargo
Limagma,Slugma
Maganon,Magmortar
Motisma Tonte,Rotom Corte
Phyllali,Leafeon
Apireine,Vespiquen
Cheniti,Burmy
Mélokrik,Kricketune
Crikzik,Kricketot
Boskara,Grotle
Tortipouss,Turtwig
Rosélia,Roselia
Joliflor,Bellossom
Tarinorme ex,Probopass ex
Tarinormeex,Probopass ex
Carchacrok ex,Garchomp ex
Carchacrokex,Garchomp ex
Givrali ex,Glaceon ex
Givraliex,Glaceon ex
Phyllali ex,Leafeon ex
