ラプラスex,Lapras ex
バタフリー,Smettbo
ニャース,Mauzi
ラッキー,Chaneira
ピカチュウ,Pikachu
博士の研究,Forschung des Professors
レッドカード,Rote Karte
モンスターボール,Pokéball
ポケモン図鑑,Pokédex ex
ハンドスコープ,Hand Scope
スピーダー,X-Initiative
きずぐすり,Trank
ミュウツーex,Mewtu ex
ピカチュウex,Pikachu ex
リザードンex,Glurak ex
ミュウ,Mew
プクリンex,Knuddeluff ex
カイリキーex,Machomei ex
ゲンガーex,Gengar ex
サンダーex,Zapdos ex
フリーザーex,Arktos ex
ファイヤーex,Lavados ex
マチス,Major Bob
ナツメ,Sabrina
タケシ,Rocko
サカキ,Giovanni
キョウ,Koga
カツラ,Pyro
カスミ,Misty
エリカ,Erika
ガラガラex,Knogga ex
スターミーex,Starmie ex
カメックスex,Turtok ex
ウインディex,Arkani ex
ナッシーex,Kokowei ex
フシギバナex,Bisaflor ex
カビゴン,Relaxo
ポリゴン,Porygon
イーブイ,Evoli
メタモン,Ditto
ピジョット,Tauboss
カイリュー,Dragoran
マタドガス,Smogmog
ゴルバット,Golbat
ニドキング,Nidoking
ニドクイン,Nidoqueen
カラカラ,Tragosso
ディグダ,Digda
ヤドン,Flegmon
フーディン,Simsala
マルマイン,Lektrobal
ラプラス,Lapras
ギャラドス,Garados
ゼニガメ,Schiggy
ギャロップ,Gallopa
ヒトカゲ,Glumanda
カイロス,Pinsir
クサイハナ,Duflor
フシギダネ,Bisasam
ひみつのコハク,Altbernstein
こうらの化石,Domfossil
かいの化石,Helixfossil
バイウールー,Zwollock
ウールー,Wolly
チラチーノ,Chillabell
チラーミィ,Picochilla
プテラ,Aerodactyl
ケンタロス,Tauros
ガルーラ,Kangama
ベロリンガ,Schlurp
ドードリオ,Dodri
ドードー,Dodu
カモネギ,Porenta
ペルシアン,Snobilikat
プクリン,Knuddeluff
プリン,Pummeluff
オニドリル,Ibitak
オニスズメ,Habitak
ラッタ,Rattikarl
コラッタ,Rattfratz
ピジョン,Tauboga
ポッポ,Taubsi
ハクリュー,Dragonir
ミニリュウ,Dratini
メルメタル,Melmetal
メルタン,Meltan
キリキザン,Caesurio
コマタナ,Gladiantri
クチート,Flunkifer
ドガース,Smogon
ベトベトン,Sleimok
ベトベター,Sleima
ズバット,Zubat
ニドリーノ,Nidorino
ニドラン♂,Nidoran♂
ニドリーナ,Nidorina
ニドラン♀,Nidoran♀
アーボック,Arbok
アーボ,Rettan
オトスパス,Kaocto
タタッコ,Klopptopus
コジョンド,Wie-Shu
コジョフー,Lin-Fu
カブトプス,Kabutops
カブト,Kabuto
サイドン,Rizeros
サイホーン,Rihorn
エビワラー,Nockchan
サワムラー,Kicklee
ガラガラ,Knogga
イワーク,Onix
ゴローニャ,Geowaz
ゴローン,Georok
イシツブテ,Kleinstein
カイリキー,Machomei
ゴーリキー,Maschock
ワンリキー,Machollo
オコリザル,Rasaff
マンキー,Menki
ダグトリオ,Digdri
サンドパン,Sandamer
サンド,Sandan
ゴルーグ,Golgantes
ゴビット,Golbit
ココロモリ,Fletiamo
