ラプラスex,Lapras ex
バタフリー,Butterfree
ニャース,Meowth
ラッキー,Chansey
ピカチュウ,Pikachu
博士の研究,Professor's Research
レッドカード,Red Card
モンスターボール,Poké Ball
ポケモン図鑑,Pokédex
ハンドスコープ,Hand Scope
スピーダー,X Speed
きずぐすり,Potion
ミュウツーex,Mewtwo ex
ピカチュウex,Pikachu ex
リザードンex,Charizard ex
ミュウ,Mew
プクリンex,Wigglytuff ex
カイリキーex,Machamp ex
ゲンガーex,Gengar ex
サンダーex,Zapdos ex
フリーザーex,Articuno ex
ファイヤーex,Moltres ex
マチス,Lt. Surge
ナツメ,Sabrina
タケシ,Brock
サカキ,Giovanni
キョウ,Koga
カツラ,Blaine
カスミ,Misty
エリカ,Erika
ガラガラex,Marowak ex
スターミーex,Starmie ex
カメックスex,Blastoise ex
ウインディex,Arcanine ex
ナッシーex,Exeggutor ex
フシギバナex,Venusaur ex
カビゴン,Snorlax
ポリゴン,Porygon
イーブイ,Eevee
メタモン,Ditto
ピジョット,Pidgeot
カイリュー,Dragonite
マタドガス,Weezing
ゴルバット,Golbat
ニドキング,Nidoking
ニドクイン,Nidoqueen
カラカラ,Cubone
ディグダ,Diglett
ヤドン,Slowpoke
フーディン,Alakazam
マルマイン,Electrode
ラプラス,Lapras
ギャラドス,Gyarados
ゼニガメ,Squirtle
ギャロップ,Rapidash
ヒトカゲ,Charmander
カイロス,Pinsir
クサイハナ,Gloom
フシギダネ,Bulbasaur
ひみつのコハク,Old Amber
こうらの化石,Dome Fossil
かいの化石,Helix Fossil
バイウールー,Dubwool
ウールー,Wooloo
チラチーノ,Cinccino
チラーミィ,Minccino
プテラ,Aerodactyl
ケンタロス,Tauros
ガルーラ,Kangaskhan
ベロリンガ,Lickitung
ドードリオ,Dodrio
ドードー,Doduo
カモネギ,Farfetch'd
ペルシアン,Persian
プクリン,Wigglytuff
プリン,Jigglypuff
オニドリル,Fearow
オニスズメ,Spearow
ラッタ,Raticate
コラッタ,Rattata
ピジョン,Pidgeotto
ポッポ,Pidgey
ハクリュー,Dragonair
ミニリュウ,Dratini
メルメタル,Melmetal
メルタン,Meltan
キリキザン,Bisharp
コマタナ,Pawniard
クチート,Mawile
ドガース,Koffing
ベトベトン,Muk
ベトベター,Grimer
ズバット,Zubat
ニドリーノ,Nidorino
ニドラン♂,Nidoran♂
ニドリーナ,Nidorina
ニドラン♀,Nidoran♀
アーボック,Arbok
アーボ,Ekans
オトスパス,Grapploct
タタッコ,Clobbopus
コジョンド,Mienshao
コジョフー,Mienfoo
カブトプス,Kabutops
カブト,Kabuto
サイドン,Rhydon
サイホーン,Rhyhorn
エビワラー,Hitmonchan
サワムラー,Hitmonlee
ガラガラ,Marowak
イワーク,Onix
ゴローニャ,Golem
ゴローン,Graveler
イシツブテ,Geodude
カイリキー,Machamp
ゴーリキー,Machoke
ワンリキー,Machop
オコリザル,Primeape
マンキー,Mankey
ダグトリオ,Dugtrio
サンドパン,Sandslash
サンド,Sandshrew
ゴルーグ,Golurk
ゴビット,Golett
ココロモリ,Swoobat
コロモリ,Woobat
サーナイト,Gardevoir
キルリア,Kirlia
ラルトス,Ralts
ミュウツー,Mewtwo
ルージュラ,Jynx
バリヤード,Mr. Mime
スリーパー,Hypno
スリープ,Drowzee
ゲンガー,Gengar
ゴースト,Haunter
ゴース,Gastly
ヤドラン,Slowbro
ユンゲラー,Kadabra
ケーシィ,Abra
ピクシー,Clefable
ピッピ,Clefairy
バチンウニ,Pincurchin
エレザード,Heliolisk
エリキテル,Helioptile
シビルドン,Eelektross
シビビール,Eelektrik
シビシラス,Tynamo
ゼブライカ,Zebstrika
シママ,Blitzle
サンダー,Zapdos
サンダース,Jolteon
エレブー,Electabuzz
ビリリダマ,Voltorb
レアコイル,Magneton
コイル,Magnemite
ライチュウ,Raichu
モスノウ,Frosmoth
ユキハミ,Snom
ハギギシリ,Bruxish
ナマコブシ,Pyukumuku
ゲッコウガ,Greninja
ゲコガシラ,Frogadier
ケロマツ,Froakie
スワンナ,Swanna
コアルヒー,Ducklett
フリーザー,Articuno
オムスター,Omastar
オムナイト,Omanyte
シャワーズ,Vaporeon
コイキング,Magikarp
スターミー,Starmie
ヒトデマン,Staryu
アズマオウ,Seaking
トサキント,Goldeen
シードラ,Seadra
タッツー,Horsea
キングラー,Kingler
クラブ,Krabby
パルシェン,Cloyster
シェルダー,Shellder
ジュゴン,Dewgong
パウワウ,Seel
ドククラゲ,Tentacruel
メノクラゲ,Tentacool
ニョロボン,Poliwrath
ニョロゾ,Poliwhirl
ニョロモ,Poliwag
ゴルダック,Golduck
コダック,Psyduck
カメックス,Blastoise
カメール,Wartortle
マルヤクデ,Centiskorch
ヤクデ,Sizzlipede
エンニュート,Salazzle
ヤトウモリ,Salandit
クイタラン,Heatmor
ファイヤー,Moltres
ブースター,Flareon
ブーバー,Magmar
ポニータ,Ponyta
ウインディ,Arcanine
ガーディ,Growlithe
キュウコン,Ninetales
ロコン,Vulpix
リザードン,Charizard
リザード,Charmeleon
ゴーゴート,Gogoat
メェークル,Skiddo
ドレディア,Lilligant
チュリネ,Petilil
エルフーン,Whimsicott
モンメン,Cottonee
ストライク,Scyther
モンジャラ,Tangela
ナッシー,Exeggutor
タマタマ,Exeggcute
ウツボット,Victreebel
ウツドン,Weepinbell
マダツボミ,Bellsprout
モルフォン,Venomoth
コンパン,Venonat
パラセクト,Parasect
パラス,Paras
ラフレシア,Vileplume
ナゾノクサ,Oddish
スピアー,Beedrill
コクーン,Kakuna
ビードル,Weedle
トランセル,Metapod
キャタピー,Caterpie
フシギバナ,Venusaur
フシギソウ,Ivysaur
コイル,Kangaskhan
ミュウex,Mew ex
セレビィex,Celebi ex
プテラex,Aerodactyl ex
リーフ,Leaf
グリーン,Blue
かけだし調査員,Budding Expeditioner
ピジョットex,Pidgeot ex
ギャラドスex,Gyarados ex
マーシャドー,Marshadow
デデンネ,Dedenne
ジャローダ,Serperior
幻の石板,Mythical Slab
