라프라스 ex,Lapras ex
라프라스ex,Lapras ex
버터플,Butterfree
나옹,Meowth
럭키,Chansey
피카츄,Pikachu
박사의 연구,Professor's Research
레드카드,Red Card
몬스터볼,Poké Ball
포켓몬 도감 ex,Pokédex
포켓몬 도감ex,Pokédex
핸드스코프,Hand Scope
스피드업,X Speed
상처약,Potion
뮤츠 ex,Mewtwo ex
뮤츠ex,Mewtwo ex
피카츄 ex,Pikachu ex
피카츄ex,Pikachu ex
리자몽 ex,Charizard ex
리자몽ex,Charizard ex
뮤,Mew
푸크린 ex,Wigglytuff ex
푸크린ex,Wigglytuff ex
괴력몬 ex,Machamp ex
괴력몬ex,Machamp ex
팬텀 ex,Gengar ex
팬텀ex,Gengar ex
썬더 ex,Zapdos ex
썬더ex,Zapdos ex
프리져 ex,Articuno ex
프리져ex,Articuno ex
파이어 ex,Moltres ex
파이어ex,Moltres ex
마티스,Lt. Surge
초련,Sabrina
웅,Brock
비주기,Giovanni
독수,Koga
강연,Blaine
이슬,Misty
민화,Erika
텅구리 ex,Marowak ex
텅구리ex,Marowak ex
아쿠스타 ex,Starmie ex
아쿠스타ex,Starmie ex
거북왕 ex,Blastoise ex
거북왕ex,Blastoise ex
윈디 ex,Arcanine ex
윈디ex,Arcanine ex
나시 ex,Exeggutor ex
나시ex,Exeggutor ex
이상해꽃 ex,Venusaur ex
이상해꽃ex,Venusaur ex
잠만보,Snorlax
폴리곤,Porygon
이브이,Eevee
메타몽,Ditto
피죤투,Pidgeot
망나뇽,Dragonite
또도가스,Weezing
골뱃,Golbat
니드킹,Nidoking
니드퀸,Nidoqueen
탕구리,Cubone
디그다,Diglett
야돈,Slowpoke
후딘,Alakazam
붐볼,Electrode
라프라스,Lapras
갸라도스,Gyarados
꼬부기,Squirtle
날쌩마,Rapidash
파이리,Charmander
쁘사이저,Pinsir
냄새꼬,Gloom
이상해씨,Bulbasaur
비밀의호박,Old Amber
껍질화석,Dome Fossil
조개화석,Helix Fossil
배우르,Dubwool
우르,Wooloo
치라치노,Cinccino
치라미,Minccino
프테라,Aerodactyl
켄타로스,Tauros
캥카,Kangaskhan
내루미,Lickitung
두트리오,Dodrio
두두,Doduo
파오리,Farfetch'd
페르시온,Persian
푸크린,Wigglytuff
푸린,Jigglypuff
깨비드릴조,Fearow
깨비참,Spearow
레트라,Raticate
꼬렛,Rattata
피죤,Pidgeotto
구구,Pidgey
신뇽,Dragonair
미뇽,Dratini
멜메탈,Melmetal
멜탄,Meltan
절각참,Bisharp
자망칼,Pawniard
입치트,Mawile
또가스,Koffing
질뻐기,Muk
질퍽이,Grimer
주뱃,Zubat
니드리노,Nidorino
니드런♂,Nidoran♂
니드리나,Nidorina
니드런♀,Nidoran♀
아보크,Arbok
아보,Ekans
케오퍼스,Grapploct
때때무노,Clobbopus
비조도,Mienshao
비조푸,Mienfoo
투구푸스,Kabutops
투구,Kabuto
코뿌리,Rhydon
뿔카노,Rhyhorn
홍수몬,Hitmonchan
시라소몬,Hitmonlee
텅구리,Marowak
롱스톤,Onix
딱구리,Golem
데구리,Graveler
꼬마돌,Geodude
괴력몬,Machamp
근육몬,Machoke
알통몬,Machop
성원숭,Primeape
망키,Mankey
닥트리오,Dugtrio
고지,Sandslash
모래두지,Sandshrew
골루그,Golurk
골비람,Golett
맘박쥐,Swoobat
또르박쥐,Woobat
가디안,Gardevoir
킬리아,Kirlia
랄토스,Ralts
뮤츠,Mewtwo
루주라,Jynx
마임맨,Mr. Mime
슬리퍼,Hypno
슬리프,Drowzee
팬텀,Gengar
고우스트,Haunter
고오스,Gastly
야도란,Slowbro
윤겔라,Kadabra
캐이시,Abra
픽시,Clefable
삐삐,Clefairy
찌르성게,Pincurchin
일레도리자드,Heliolisk
목도리키텔,Helioptile
저리더프,Eelektross
저리릴,Eelektrik
저리어,Tynamo
제브라이카,Zebstrika
줄뮤마,Blitzle
썬더,Zapdos
쥬피썬더,Jolteon
에레브,Electabuzz
찌리리공,Voltorb
레어코일,Magneton
코일,Magnemite
라이츄,Raichu
모스노우,Frosmoth
누니머기,Snom
치갈기,Bruxish
해무기,Pyukumuku
개굴닌자,Greninja
개굴반장,Frogadier
개구마르,Froakie
스완나,Swanna
꼬지보리,Ducklett
프리져,Articuno
암스타,Omastar
암나이트,Omanyte
샤미드,Vaporeon
잉어킹,Magikarp
아쿠스타,Starmie
별가사리,Staryu
왕콘치,Seaking
콘치,Goldeen
시드라,Seadra
쏘드라,Horsea
킹크랩,Kingler
크랩,Krabby
파르셀,Cloyster
셀러,Shellder
쥬레곤,Dewgong
쥬쥬,Seel
독파리,Tentacruel
왕눈해,Tentacool
강챙이,Poliwrath
슈륙챙이,Poliwhirl
발챙이,Poliwag
골덕,Golduck
고라파덕,Psyduck
거북왕,Blastoise
어니부기,Wartortle
다태우지네,Centiskorch
태우지네,Sizzlipede
염뉴트,Salazzle
야도뇽,Salandit
앤티골,Heatmor
파이어,Moltres
부스터,Flareon
마그마,Magmar
포니타,Ponyta
윈디,Arcanine
가디,Growlithe
나인테일,Ninetales
식스테일,Vulpix
리자몽,Charizard
리자드,Charmeleon
고고트,Gogoat
메이클,Skiddo
드레디어,Lilligant
치릴리,Petilil
엘풍,Whimsicott
소미안,Cottonee
스라크,Scyther
덩쿠리,Tangela
나시,Exeggutor
아라리,Exeggcute
우츠보트,Victreebel
우츠동,Weepinbell
모다피,Bellsprout
도나리,Venomoth
콘팡,Venonat
