拉普拉斯 ex,Lapras ex
拉普拉斯ex,Lapras ex
巴大蝶,Butterfree
喵喵,Meowth
吉利蛋,Chansey
皮卡丘,Pikachu
博士的研究,Investigación de Profesores
紅牌,Tarjeta Roja
精靈球,Poké Ball
寶可夢圖鑑 ex,Pokédex ex
寶可夢圖鑑ex,Pokédex ex
窺手鏡,Periscopio
速度強化,Velocidad X
傷藥,Poción
超夢 ex,Mewtwo ex
超夢ex,Mewtwo ex
皮卡丘 ex,Pikachu ex
皮卡丘ex,Pikachu ex
噴火龍 ex,Charizard ex
噴火龍ex,Charizard ex
夢幻,Mew
胖可丁 ex,Wigglytuff ex
胖可丁ex,Wigglytuff ex
怪力 ex,Machamp ex
怪力ex,Machamp ex
耿鬼 ex,Gengar ex
耿鬼ex,Gengar ex
閃電鳥 ex,Zapdos ex
閃電鳥ex,Zapdos ex
急凍鳥 ex,Articuno ex
急凍鳥ex,Articuno ex
火焰鳥 ex,Moltres ex
火焰鳥ex,Moltres ex
馬志士,Teniente Surge
娜姿,Sabrina
小剛,Brock
坂木,Giovanni
阿桔,Koga
夏伯,Blaine
小霞,Misty
莉佳,Erika
嘎啦嘎啦 ex,Marowak ex
嘎啦嘎啦ex,Marowak ex
寶石海星 ex,Starmie ex
寶石海星ex,Starmie ex
水箭龜 ex,Blastoise ex
水箭龜ex,Blastoise ex
風速狗 ex,Arcanine ex
風速狗ex,Arcanine ex
椰蛋樹 ex,Exeggutor ex
椰蛋樹ex,Exeggutor ex
妙蛙花 ex,Venusaur ex
妙蛙花ex,Venusaur ex
卡比獸,Snorlax
多邊獸,Porygon
伊布,Eevee
百變怪,Ditto
大比鳥,Pidgeot
快龍,Dragonite
雙彈瓦斯,Weezing
大嘴蝠,Golbat
尼多王,Nidoking
尼多后,Nidoqueen
卡拉卡拉,Cubone
地鼠,Diglett
呆呆獸,Slowpoke
胡地,Alakazam
頑皮雷彈,Electrode
拉普拉斯,Lapras
暴鯉龍,Gyarados
傑尼龜,Squirtle
烈焰馬,Rapidash
小火龍,Charmander
凱羅斯,Pinsir
臭臭花,Gloom
妙蛙種子,Bulbasaur
秘密琥珀,Ámbar viejo
甲殼化石,Fósil Domo
貝殼化石,Fósil Hélix
毛毛角羊,Dubwool
毛辮羊,Wooloo
奇諾栗鼠,Cinccino
泡沫栗鼠,Minccino
化石翼龍,Aerodactyl
肯泰羅,Tauros
袋獸,Kangaskhan
大舌頭,Lickitung
嘟嘟利,Dodrio
嘟嘟,Doduo
大蔥鴨,Farfetch’d
貓老大,Persian
胖可丁,Wigglytuff
胖丁,Jigglypuff
大嘴雀,Fearow
烈雀,Spearow
拉達,Raticate
小拉達,Rattata
比比鳥,Pidgeotto
波波,Pidgey
哈克龍,Dragonair
迷你龍,Dratini
美錄梅塔,Melmetal
美錄坦,Meltan
劈斬司令,Bisharp
駒刀小兵,Pawniard
大嘴娃,Mawile
瓦斯彈,Koffing
臭臭泥,Muk
臭泥,Grimer
超音蝠,Zubat
尼多力諾,Nidorino
尼多朗,Nidoran♂
尼多娜,Nidorina
尼多蘭,Nidoran♀
阿柏怪,Arbok
阿柏蛇,Ekans
八爪武師,Grapploct
拳拳蛸,Clobbopus
師父鼬,Mienshao
功夫鼬,Mienfoo
鐮刀盔,Kabutops
化石盔,Kabuto
鑽角犀獸,Rhydon
獨角犀牛,Rhyhorn
快拳郎,Hitmonchan
飛腿郎,Hitmonlee
嘎啦嘎啦,Marowak
大岩蛇,Onix
隆隆岩,Golem
隆隆石,Graveler
小拳石,Geodude
怪力,Machamp
豪力,Machoke
腕力,Machop
火爆猴,Primeape
猴怪,Mankey
三地鼠,Dugtrio
穿山王,Sandslash
穿山鼠,Sandshrew
泥偶巨人,Golurk
泥偶小人,Golett
心蝙蝠,Swoobat
滾滾蝙蝠,Woobat
沙奈朵,Gardevoir
奇魯莉安,Kirlia
拉魯拉絲,Ralts
超夢,Mewtwo
迷唇姐,Jynx
魔牆人偶,Mr. Mime
引夢貘人,Hypno
催眠貘,Drowzee
耿鬼,Gengar
鬼斯通,Haunter
鬼斯,Gastly
呆殼獸,Slowbro
勇基拉,Kadabra
凱西,Abra
皮可西,Clefable
皮皮,Clefairy
啪嚓海膽,Pincurchin
電傘查特,Heliolisk
傘電蜥,Helioptile
麻麻鰻魚王,Eelektross
麻麻鰻,Eelektrik
麻麻小魚,Tynamo
雷電斑馬,Zebstrika
斑斑馬,Blitzle
閃電鳥,Zapdos
雷伊布,Jolteon
電擊獸,Electabuzz
霹靂電球,Voltorb
三合一磁怪,Magneton
小磁怪,Magnemite
雷丘,Raichu
雪絨蛾,Frosmoth
雪吞蟲,Snom
磨牙彩皮魚,Bruxish
拳海參,Pyukumuku
甲賀忍蛙,Greninja
呱頭蛙,Frogadier
呱呱泡蛙,Froakie
首席天鵝,Swanna
鴨寶寶,Ducklett
急凍鳥,Articuno
多刺菊石獸,Omastar
菊石獸,Omanyte
水伊布,Vaporeon
鯉魚王,Magikarp
寶石海星,Starmie
海星星,Staryu
金魚王,Seaking
角金魚,Goldeen
海刺龍,Seadra
墨海馬,Horsea
巨鉗蟹,Kingler
大鉗蟹,Krabby
刺甲貝,Cloyster
大舌貝,Shellder
白海獅,Dewgong
小海獅,Seel
毒刺水母,Tentacruel
瑪瑙水母,Tentacool
蚊香泳士,Poliwrath
蚊香君,Poliwhirl
蚊香蝌蚪,Poliwag
哥達鴨,Golduck
可達鴨,Psyduck
水箭龜,Blastoise
卡咪龜,Wartortle
焚焰蚣,Centiskorch
燒火蚣,Sizzlipede
焰后蜥,Salazzle
夜盜火蜥,Salandit
食蟻爐,Heatmor
火焰鳥,Moltres
火伊布,Flareon
鴨嘴火獸,Magmar
小火馬,Ponyta
風速狗,Arcanine
卡蒂狗,Growlithe
九尾,Ninetales
六尾,Vulpix
噴火龍,Charizard
火恐龍,Charmeleon
坐騎山羊,Gogoat
咩咩羊,Skiddo
裙兒小姐,Lilligant
百合根娃娃,Petilil
風妖精,Whimsicott
木棉球,Cottonee
飛天螳螂,Scyther
蔓藤怪,Tangela
椰蛋樹,Exeggutor
蛋蛋,Exeggcute
大食花,Victreebel
口呆花,Weepinbell
喇叭芽,Bellsprout
摩魯蛾,Venomoth
毛球,Venonat
派拉斯特,Parasect
派拉斯,Paras
霸王花,Vileplume
走路草,Oddish
大針蜂,Beedrill
鐵殼蛹,Kakuna
獨角蟲,Weedle
鐵甲蛹,Metapod
綠毛蟲,Caterpie
妙蛙花,Venusaur
妙蛙草,Ivysaur
夢幻 ex,Mew ex
夢幻ex,Mew ex
雪拉比 ex,Celebi ex
雪拉比ex,Celebi ex
化石翼龍 ex,Aerodactyl ex
化石翼龍ex,Aerodactyl ex
Leaf,Hoja
Blue,Azul
Budding Expeditioner,Explorador Novel
大比鳥 ex,Pidgeot ex
大比鳥ex,Pidgeot ex
暴鯉龍 ex,Gyarados ex
暴鯉龍ex,Gyarados ex
瑪夏多,Marshadow
咚咚鼠,Dedenne
君主蛇,Serperior
Mythical Slab,Losa Singular
Pokémon Flute,Pokéflauta
聒噪鳥,Chatot
赤面龍,Druddigon
蜈蚣王,Scolipede
車輪毬,Whirlipede
